Date,Open,High,Low,Close,Adj Close,Volume
17-10-2017,54020000000,55380000000,54000000000,54800000000,47738851563,10607800
18-10-2017,54820000000,55240000000,54040000000,54760000000,47704007813,10110750
19-10-2017,54700000000,54700000000,52980000000,52980000000,46153363281,12108700
20-10-2017,52800000000,54100000000,52800000000,53840000000,46902546875,8027050
23-10-2017,54600000000,54640000000,54000000000,54300000000,47303273438,8311050
24-10-2017,54700000000,54780000000,54040000000,54040000000,47076777344,5806050
25-10-2017,54040000000,54420000000,53700000000,53900000000,46954816406,5882850
26-10-2017,53720000000,53900000000,52400000000,52400000000,45648097656,9776550
27-10-2017,52400000000,53320000000,52140000000,53080000000,46240472656,7392500
30-10-2017,53780000000,54320000000,53700000000,54040000000,47076777344,8196150
31-10-2017,54060000000,55440000000,53500000000,55080000000,47982773438,13381550
01-11-2017,57500000000,57500000000,56180000000,57220000000,49847027344,14510250
02-11-2017,57500000000,57520000000,56760000000,57060000000,49707644531,10721050
03-11-2017,57060000000,57140000000,55860000000,56380000000,49115261719,9935800
06-11-2017,56380000000,56500000000,55340000000,56380000000,49115261719,9000950
07-11-2017,56380000000,56920000000,55860000000,56100000000,48871343750,7464550
08-11-2017,56100000000,57060000000,55860000000,56760000000,49446300781,8520200
09-11-2017,56920000000,56920000000,55900000000,56340000000,49080417969,11994050
10-11-2017,55800000000,56540000000,55780000000,56400000000,49132683594,6748800
13-11-2017,56400000000,56800000000,56100000000,56380000000,49115261719,8806650
14-11-2017,56380000000,56740000000,55920000000,55920000000,48714542969,6725000
15-11-2017,55920000000,56320000000,55320000000,55340000000,48209269531,8816950
16-11-2017,55440000000,56000000000,55400000000,55780000000,48592578125,7640700
17-11-2017,56400000000,56880000000,55820000000,55820000000,48627429688,10733150
20-11-2017,55900000000,55980000000,55200000000,55200000000,48087308594,9472750
21-11-2017,55400000000,55840000000,55280000000,55280000000,48157003906,10324700
22-11-2017,55980000000,56200000000,55620000000,55960000000,48749378906,7952950
23-11-2017,55960000000,55980000000,55020000000,55300000000,48174421875,6272900
